name,shortName,gps,version,catalog,doi,detail_url,mass_1_source,mass_1_source_lower,mass_1_source_upper,mass_2_source,mass_2_source_lower,mass_2_source_upper,network_matched_filter_snr,network_matched_filter_snr_lower,network_matched_filter_snr_upper,luminosity_distance,luminosity_distance_lower,luminosity_distance_upper,chi_eff,chi_eff_lower,chi_eff_upper,total_mass_source,total_mass_source_lower,total_mass_source_upper,chirp_mass_source,chirp_mass_source_lower,chirp_mass_source_upper,chirp_mass,chirp_mass_lower,chirp_mass_upper,redshift,redshift_lower,redshift_upper,far,far_lower,far_upper,p_astro,p_astro_lower,p_astro_upper,final_mass_source,final_mass_source_lower,final_mass_source_upper
GW220805_080111,GW220805_080111-v1,1384782888.7,2,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231123_135430-v2,137.0,-18.0,23.0,101.0,-51.0,22.0,21.8,,,2200.0,-1500.0,2000.0,0.31,-0.41,0.25,236.0,-48.0,29.0,101.0,-30.0,13.0,,,,0.39,-0.25,0.28,1e-05,,,0.99,,,222.0,-42.0,27.0
GW150918_222059,GW150918_222059-v1,1384482081.0,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231120_022103-v1,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,3.8,,,0.9,,,,,
GW190126_120642,GW190126_120642-v1,1384415586.1,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231119_075248-v1,49.0,-13.0,23.0,33.0,-13.0,15.0,8.3,,,6700.0,-3700.0,5500.0,,,,82.0,-18.0,29.0,34.4,-7.8,12.4,,,,0.99,-0.48,0.62,0.019,,,0.99,,,79.0,-18.0,27.0
GW251110_095434,GW251110_095434-v1,1384333580.0,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231118_090602-v1,13.1,-3.3,13.7,7.3,-3.3,2.1,11.0,,,1350.0,-600.0,540.0,0.08,-0.09,0.36,20.7,-2.3,10.2,8.37,-0.56,0.76,,,,0.26,-0.11,0.09,1e-05,,,0.99,,,19.7,-2.3,10.6
GW201106_060739,GW201106_060739-v1,1384326860.2,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231118_071402-v1,43.0,-10.0,15.0,29.0,-10.0,11.0,9.2,,,4300.0,-2200.0,3500.0,0.11,-0.28,0.29,72.0,-14.0,18.0,30.4,-6.1,7.9,,,,0.69,-0.32,0.43,0.0028,,,0.99,,,69.0,-13.0,17.0
GW231127_200426,GW231127_200426-v1,1384304204.8,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231118_005626-v1,19.8,-4.9,6.6,10.9,-2.4,3.3,10.7,,,2190.0,-970.0,930.0,0.37,-0.11,0.1,30.9,-3.6,5.3,12.6,-1.1,1.6,,,,0.39,-0.16,0.14,1e-05,,,0.99,,,29.3,-3.6,5.3
GW250514_172254,GW250514_172254-v1,1383971549.2,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231114_043211-v1,22.7,-6.4,9.6,8.2,-2.2,2.6,10.0,,,1380.0,-610.0,870.0,0.08,-0.16,0.22,31.0,-4.8,7.6,11.6,-1.1,1.1,,,,0.26,-0.11,0.14,0.00013,,,0.99,,,30.0,-4.8,7.8
GW180910_125747,GW180910_125747-v1,1383941075.9,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231113_200417-v1,11.5,-2.3,5.1,7.4,-2.0,1.8,10.5,,,1160.0,-530.0,640.0,0.13,-0.08,0.14,19.2,-1.9,3.1,8.01,-0.64,0.68,,,,0.23,-0.1,0.11,3.8e-05,,,0.99,,,18.3,-1.9,3.2
GW210226_081033,GW210226_081033-v1,1383922859.4,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231113_150041-v1,,,,,,,8.7,,,,,,,,,,,,,,,,,,,,,1.7999999999999998,,,0.96,,,,,
GW170304_040059,GW170304_040059-v1,1383913601.9,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231113_122623-v1,39.7,-9.6,17.3,26.4,-9.4,9.0,8.6,,,3400.0,-1700.0,2400.0,0.33,-0.33,0.25,67.0,-13.0,16.0,27.9,-5.5,6.3,,,,0.57,-0.25,0.31,0.28,,,0.99,,,63.0,-12.0,15.0
